step,time_s,L1,L2,L3,L4,L5,L6,R1,R2,R3,R4,R5,R6
89,0.356000,-0.259680927,6.42714214,5.71412086,-3.60343099,-0.000990122557,3.00276875,-3.37405049e-06,-2.80308836e-06,7.00086957e-06,-3.40487804e-06,2.69608427e-06,6.192398e-05
90,0.360000,-0.258869976,6.42518663,5.71021557,-3.59980583,0.000673953444,3.00111532,-3.53945779e-06,-2.8336533e-06,6.84303586e-06,-3.30236981e-06,5.25704945e-06,6.03881745e-05
91,0.364000,-0.247031942,5.80743217,4.91476488,-2.97451878,-0.0413410366,2.51341581,-3.68231622e-06,-2.86287741e-06,6.67885115e-06,-3.20201889e-06,7.86524106e-06,5.88300172e-05
92,0.368000,-0.215946674,5.5506525,4.75211525,-2.98691106,-0.0362443812,2.50652981,-3.84338136e-06,-2.90753951e-06,6.50993479e-06,-3.10205496e-06,1.04868968e-05,5.72623612e-05
93,0.372000,-0.197847649,5.46076488,4.72867298,-2.99715137,-0.0242800862,2.49608612,-3.9911065e-06,-2.94137226e-06,6.36979439e-06,-2.99726094e-06,1.30766848e-05,5.57126477e-05
94,0.376000,-0.191996813,5.41786385,4.72818565,-2.99920845,-0.0181503221,2.49074149,-4.14959868e-06,-2.97081397e-06,6.19996536e-06,-2.90069192e-06,1.56565748e-05,5.41696609e-05
95,0.380000,-0.190817118,5.39388275,4.73178005,-2.99800444,-0.0152258538,2.48824549,-4.28787098e-06,-2.9824489e-06,6.0712473e-06,-2.7962401e-06,1.82079602e-05,5.26415679e-05
96,0.384000,-0.191006377,5.3789835,4.73508978,-2.99550128,-0.013915658,2.48707294,-4.44674697e-06,-3.01561568e-06,5.94086168e-06,-2.69885595e-06,2.07760786e-05,5.11053004e-05
97,0.388000,-0.191245332,5.36920929,4.73757219,-2.99261284,-0.0132836513,2.48635864,-4.60022193e-06,-3.04916807e-06,5.78545132e-06,-2.59312264e-06,2.33724204e-05,4.95514068e-05
98,0.392000,-0.191274762,5.36238146,4.73901653,-2.98972869,-0.0128663145,2.48574662,-4.75412253e-06,-3.08115455e-06,5.64566744e-06,-2.49195591e-06,2.5922327e-05,4.80254894e-05
99,0.396000,-0.191173315,5.35726786,4.73931456,-2.98688626,-0.0124975666,2.48513818,-4.90941193e-06,-3.11380177e-06,5.50483946e-06,-2.39442556e-06,2.84671605e-05,4.65039084e-05
